team,elo,model_p_champion,model_p_top4,market_raw_probability,market_probability,delta_market_minus_model,abs_delta,ratio_market_to_model,spread,price_confidence,market_slug,comparison_status
Qatar,1678.0,0.0038,0.0336,0.0005,0.0004777830864787,-0.0033222169135213,0.0033222169135213,0.12573239117860527,0.001,high,will-qatar-win-the-2026-fifa-world-cup,matched
Czechia,1718.0,0.0057,0.0448,0.0025,0.0023889154323936,-0.0033110845676064004,0.0033110845676064004,0.41910797059536836,0.001,high,will-czechia-win-the-2026-fifa-world-cup,matched
USA,1815.0,0.0142,0.0774,0.0115,0.0109890109890109,-0.003210989010989101,0.003210989010989101,0.7738740133106267,0.001,high,will-usa-win-the-2026-fifa-world-cup-467,matched
Japan,1879.0,0.0206,0.1035,0.0185,0.0176779741997133,-0.0029220258002866997,0.0029220258002866997,0.8581540873647233,0.001,high,will-japan-win-the-2026-fifa-world-cup-112,matched
Saudi Arabia,1660.0,0.0028,0.0252,0.0005,0.0004777830864787,-0.0023222169135213,0.0023222169135213,0.1706368165995357,0.001,high,will-saudi-arabia-win-the-2026-fifa-world-cup,matched
Iraq,1648.0,0.0024,0.0228,0.0005,0.0004777830864787,-0.0019222169135212999,0.0019222169135212999,0.19907628603279168,0.001,high,will-iraq-win-the-2026-fifa-world-cup,matched
Uzbekistan,1622.0,0.0023,0.0207,0.0005,0.0004777830864787,-0.0018222169135213,0.0018222169135213,0.20773177672986956,0.001,high,will-uzbekistan-win-the-2026-fifa-world-cup-773,matched
Ivory Coast,1730.0,0.0061,0.0477,0.0045,0.0043000477783086,-0.0017999522216914001,0.0017999522216914001,0.7049258652964918,0.001,high,will-ivory-coast-win-the-2026-fifa-world-cup,matched
Jordan,1628.0,0.0022,0.0203,0.0005,0.0004777830864787,-0.0017222169135213002,0.0017222169135213002,0.21717413021759088,0.001,high,will-jordan-win-the-2026-fifa-world-cup-233,matched
Morocco,1848.0,0.0191,0.1002,0.0185,0.0176779741997133,-0.0014220258002866984,0.0014220258002866984,0.9255483874195446,0.001,high,will-morocco-win-the-2026-fifa-world-cup-464,matched
South Africa,1572.0,0.0017,0.0182999999999999,0.0005,0.0004777830864787,-0.0012222169135213,0.0012222169135213,0.2810488743992353,0.001,high,will-south-africa-win-the-2026-fifa-world-cup,matched
Paraguay,1658.0,0.0036,0.0319,0.0025,0.0023889154323936,-0.0012110845676064,0.0012110845676064,0.6635876201093333,0.001,high,will-paraguay-win-the-2026-fifa-world-cup-967,matched
DR Congo,1652.0,0.0026,0.0264,0.0015,0.0014333492594362,-0.0011666507405638,0.0011666507405638,0.5512881767062308,0.001,high,will-congo-dr-win-the-2026-fifa-world-cup,matched
Ghana,1642.0,0.0024,0.0271,0.0015,0.0014333492594362,-0.0009666507405637998,0.0009666507405637998,0.5972288580984167,0.001,high,will-ghana-win-the-2026-fifa-world-cup,matched
Panama,1582.0,0.0013,0.0162,0.0005,0.0004777830864787,-0.0008222169135213,0.0008222169135213,0.36752545113746155,0.001,high,will-team-z-win-the-2026-fifa-world-cup-316,matched
Belgium,1849.0,0.022,0.0998999999999999,0.0225,0.0215002388915432,-0.0004997611084568004,0.0004997611084568004,0.9772835859792364,0.001,high,will-belgium-win-the-2026-fifa-world-cup-358,matched
Mexico,1828.0,0.0162,0.0892,0.0165,0.0157668418537983,-0.0004331581462016995,0.0004331581462016995,0.9732618428270556,0.001,high,will-mexico-win-the-2026-fifa-world-cup-529,matched
New Zealand,1478.0,0.0009,0.0087,0.0005,0.0004777830864787,-0.0004222169135213,0.0004222169135213,0.5308700960874444,0.001,high,will-new-zealand-win-the-2026-fifa-world-cup-635,matched
Cape Verde,1542.0,0.0008,0.0123,0.0005,0.0004777830864787,-0.00032221691352130006,0.00032221691352130006,0.5972288580983749,0.001,high,will-cape-verde-win-the-2026-fifa-world-cup,matched
Curaçao,1432.0,0.0007,0.0055,0.0005,0.0004777830864787,-0.00022221691352130002,0.00022221691352130002,0.6825472663981428,0.001,high,will-curaao-win-the-2026-fifa-world-cup,matched
Haiti,1488.0,0.0006,0.0082,0.0005,0.0004777830864787,-0.00012221691352129997,0.00012221691352129997,0.7963051441311667,0.001,high,will-haiti-win-the-2026-fifa-world-cup,matched
