fixture_id,group,match_round,team_a,team_b,event_found,event_slug,market_count,moneyline_count,exact_score_count,totals_count,spreads_count,btts_count,player_props_count,processable_markets_count
G-H-3-1,H,3,Cape Verde,Saudi Arabia,True,fifwc-cvi-ksa-2026-06-26,3,3,0,0,0,0,0,3
G-H-3-2,H,3,Uruguay,Spain,True,fifwc-ury-esp-2026-06-26,3,3,0,0,0,0,0,3
G-G-3-1,G,3,Egypt,Iran,True,fifwc-egy-irn-2026-06-26,3,3,0,0,0,0,0,3
G-G-3-2,G,3,New Zealand,Belgium,True,fifwc-nzl-bel-2026-06-26,3,3,0,0,0,0,0,3
G-L-3-1,L,3,Panama,England,True,fifwc-pan-eng-2026-06-27,3,3,0,0,0,0,0,3
G-L-3-2,L,3,Croatia,Ghana,True,fifwc-hrv-gha-2026-06-27,3,3,0,0,0,0,0,3
G-K-3-1,K,3,Colombia,Portugal,True,fifwc-col-prt-2026-06-27,3,3,0,0,0,0,0,3
G-K-3-2,K,3,DR Congo,Uzbekistan,True,fifwc-cdr-uzb-2026-06-27,3,3,0,0,0,0,0,3
G-J-3-1,J,3,Algeria,Austria,True,fifwc-alg-aut-2026-06-27,3,3,0,0,0,0,0,3
G-J-3-2,J,3,Jordan,Argentina,True,fifwc-jor-arg-2026-06-27,3,3,0,0,0,0,0,3
